agency_id,route_id,route_long_name,route_short_name,route_desc,route_type
DIMTS,230,172STLDOWN,172STLDOWN,Bawana Sec 1 Cluster Depot to Holambi Khurd,3
DIMTS,231,172STLUP,172STLUP,Holambi Khurd to Bawana Sec 1 Depot Bus Stop,3
DIMTS,232,172UP,172UP,New Delhi Railway Station Gate 2 to Holambi Khurd,3
DIMTS,234,173STLDOWN,173STLDOWN,Rani Khera Depot 1 to Sec A 5 Crossing Narela,3
DIMTS,235,173STLUP,173STLUP,Sec A 5 Crossing Narela to Rani Khera Depot 1,3
DIMTS,237,174BSTLDOWN,174BSTLDOWN,Jonti Border to Mangol Puri Y Block,3
DIMTS,238,174BSTLUP,174BSTLUP,Mangolpuri Y Block to Jonti Border,3
DIMTS,239,174DOWN,174DOWN,Kanjhawala Village (T) to Azadpur Terminal,3
DIMTS,240,174LSTLDOWN,174LSTLDOWN,Jonti Border to Rani Khera Depot 3,3
DIMTS,241,174LSTLUP,174LSTLUP,Rani Khera Depot 3 to Jonti Border,3
DIMTS,244,174UP,174UP,Azadpur Terminal to Kanjhawala Village (T),3
DIMTS,248,175STLDOWN,175STLDOWN,Lampur Border (T) to Rani Khera Depot 1,3
DIMTS,249,175STLUP,175STLUP,Rani Khera Depot 1 to Lampur Border (T),3
DIMTS,251,179DOWN,179DOWN,Ramdev Chowk Narela Terminal to Azadpur Terminal,3
DIMTS,252,179UP,179UP,Azadpur Terminal to Ramdev Chowk Narela Terminal / A-5 Narela / Police Colony,3
DIMTS,257,181STLDOWN,181STLDOWN,JLN Stadium / Sunehri Pulla Depot to Nizamuddin Railway Station,3
DIMTS,258,181STLUP,181STLUP,Nizamuddin Railway Station to Sunehari Pulla Depot,3
DIMTS,263,188DOWN,188DOWN,Qutubgarh Village   (Terminal) to Kendriya Terminal (Church Road) /  North Block Lane,3
DIMTS,264,188LINKSTLDOWN,188LINKSTLDOWN,Burari EV Depot (Outshed) to Mori Gate Terminal,3
DIMTS,265,188LINKSTLUP,188LINKSTLUP,Mori Gate Terminal to Burari EV Depot (Inshed),3
